isin,name,fee,geography,strategy,risk,5y_sharpe
31253,Simulated Security 31253,0.01,United States,Growth,Low,-0.891634341
31254,Simulated Security 31254,0.004,United States,Balanced,Medium,-3.663956927
31255,Simulated Security 31255,0.001,Canada,Value,Medium,1.429262305
31256,Simulated Security 31256,0.012,Canada,Value,High,-3.261965777
31257,Simulated Security 31257,0.011,Canada,Growth,Medium,1.646754491
31258,Simulated Security 31258,0.007,United States,Balanced,Medium,3.056007112
31259,Simulated Security 31259,0.006,Canada,Balanced,Medium,4.359862034
31260,Simulated Security 31260,0,Canada,Balanced,Low,-7.144289611
31261,Simulated Security 31261,0.009,Canada,Growth,High,-1.153603815
31262,Simulated Security 31262,0.009,United States,Growth,High,0.025718185
31263,Simulated Security 31263,0.009,United States,Income,High,-1.974925267
31264,Simulated Security 31264,0.011,United States,Income,Medium,-0.153570851
31265,Simulated Security 31265,0.001,United States,Balanced,Medium,-1.674432774
31266,Simulated Security 31266,0.004,Canada,Value,Low,3.796861049
31267,Simulated Security 31267,0.003,Canada,Balanced,Medium,-2.000489981
31268,Simulated Security 31268,0.017,Canada,Balanced,Low,1.692185288
31269,Simulated Security 31269,0.006,Canada,Income,High,2.730549074
31270,Simulated Security 31270,0.011,United States,Income,Low,-1.179057112
31271,Simulated Security 31271,0.015,United States,Value,High,-0.523152686
31272,Simulated Security 31272,0.013,Canada,Growth,Low,0.02900871
31273,Simulated Security 31273,0.004,United States,Income,Medium,-2.184118593
31274,Simulated Security 31274,0.013,United States,Value,Medium,0.151241694
31275,Simulated Security 31275,0.002,Canada,Value,High,1.902818129
31276,Simulated Security 31276,0.013,Canada,Growth,High,4.114484679
31277,Simulated Security 31277,0.02,United States,Growth,Medium,2.408843033
31278,Simulated Security 31278,0.007,United States,Balanced,Low,3.521668791
31279,Simulated Security 31279,0,Canada,Growth,Low,5.107098797
31280,Simulated Security 31280,0.015,United States,Balanced,High,-1.400055918
31281,Simulated Security 31281,0.01,Canada,Income,Low,0.977781191
31282,Simulated Security 31282,0.014,United States,Balanced,Low,2.516994002
31283,Simulated Security 31283,0.014,Canada,Income,High,-1.323620427
31284,Simulated Security 31284,0.003,United States,Income,Medium,1.818056789
31285,Simulated Security 31285,0.014,United States,Balanced,Low,3.016767366
31286,Simulated Security 31286,0.012,Canada,Income,High,0.102837504
31287,Simulated Security 31287,0.004,United States,Growth,Medium,-1.323433256
31288,Simulated Security 31288,0.008,United States,Value,High,0.649706372
31289,Simulated Security 31289,0.013,Canada,Income,Low,-0.791995762
31290,Simulated Security 31290,0.018,United States,Growth,Medium,-1.817625759
31291,Simulated Security 31291,0.006,United States,Balanced,High,1.561405429
31292,Simulated Security 31292,0.005,Canada,Income,Low,3.585243041
31293,Simulated Security 31293,0.017,United States,Value,Low,-2.343979442
31294,Simulated Security 31294,0.018,Canada,Growth,High,3.377489331
31295,Simulated Security 31295,0.017,United States,Growth,High,-0.979569493
31296,Simulated Security 31296,0.01,United States,Growth,Medium,7.32247637
31297,Simulated Security 31297,0.012,United States,Value,Medium,5.414485603
31298,Simulated Security 31298,0.018,Canada,Balanced,Low,0.445265431
31299,Simulated Security 31299,0.002,Canada,Income,Low,2.480223089
31300,Simulated Security 31300,0.007,United States,Balanced,High,1.52095976
31301,Simulated Security 31301,0.008,Canada,Income,Medium,3.003796018
31302,Simulated Security 31302,0.011,United States,Balanced,High,6.958520635
31303,Simulated Security 31303,0.01,Canada,Income,Low,2.383620947
31304,Simulated Security 31304,0.019,United States,Growth,Medium,-0.323019468
31305,Simulated Security 31305,0.015,United States,Value,Low,-0.453338281
31306,Simulated Security 31306,0.003,Canada,Growth,Medium,9.932133481
31307,Simulated Security 31307,0.013,United States,Balanced,Low,-1.143376927
31308,Simulated Security 31308,0.015,Canada,Growth,High,8.924353729
31309,Simulated Security 31309,0.011,United States,Income,High,-0.909093488
31310,Simulated Security 31310,0.008,United States,Income,Low,2.232915346
31311,Simulated Security 31311,0.014,United States,Balanced,High,0.966192765
31312,Simulated Security 31312,0.017,Canada,Growth,High,-1.100473314
31313,Simulated Security 31313,0.004,United States,Growth,Medium,5.415406229
31314,Simulated Security 31314,0.01,United States,Balanced,High,9.349744929
31315,Simulated Security 31315,0.002,Canada,Income,High,3.464717068
31316,Simulated Security 31316,0.016,United States,Growth,Medium,-0.446779145
31317,Simulated Security 31317,0.016,United States,Balanced,Medium,1.199243461
31318,Simulated Security 31318,0.02,Canada,Balanced,Low,5.540863929
31319,Simulated Security 31319,0.001,Canada,Value,Medium,2.172185924
31320,Simulated Security 31320,0.008,Canada,Balanced,Medium,0.994799462
31321,Simulated Security 31321,0.01,Canada,Value,Low,6.738265739
31322,Simulated Security 31322,0.012,Canada,Value,High,0.216138276
31323,Simulated Security 31323,0.008,Canada,Growth,Low,4.717755862
31324,Simulated Security 31324,0.016,United States,Value,High,-2.060546937
31325,Simulated Security 31325,0.011,Canada,Growth,High,2.613441795
31326,Simulated Security 31326,0.001,United States,Growth,Medium,-2.642063228
31327,Simulated Security 31327,0.015,United States,Value,Low,13.6983649
31328,Simulated Security 31328,0,Canada,Income,Low,-11.31525295
31329,Simulated Security 31329,0.016,United States,Income,High,1.75132936
31330,Simulated Security 31330,0.007,United States,Income,High,1.499456076
31331,Simulated Security 31331,0.013,United States,Growth,Medium,1.638391162
31332,Simulated Security 31332,0.014,United States,Balanced,Low,3.963680196
31333,Simulated Security 31333,0.015,Canada,Income,Low,2.933521633
31334,Simulated Security 31334,0.017,United States,Income,Medium,1.181968117
31335,Simulated Security 31335,0.008,United States,Balanced,Medium,4.294429768
31336,Simulated Security 31336,0.014,Canada,Balanced,High,2.787002624
31337,Simulated Security 31337,0.014,Canada,Growth,Medium,3.85074463
31338,Simulated Security 31338,0.018,United States,Balanced,Low,-0.646993548
31339,Simulated Security 31339,0.02,Canada,Value,High,6.136900634
31340,Simulated Security 31340,0.001,Canada,Growth,High,-1.187762734
31341,Simulated Security 31341,0.008,United States,Income,High,-1.147422838
31342,Simulated Security 31342,0.013,United States,Income,Medium,2.460052433
31343,Simulated Security 31343,0.019,United States,Value,Low,-0.339707323
31344,Simulated Security 31344,0.018,Canada,Balanced,High,15.77959956
31345,Simulated Security 31345,0.018,Canada,Growth,Medium,0.726507002
31346,Simulated Security 31346,0.02,United States,Value,Low,-2.291285559
31347,Simulated Security 31347,0.015,Canada,Income,Low,-2.536315867
31348,Simulated Security 31348,0.002,United States,Balanced,Medium,1.175207475
31349,Simulated Security 31349,0.007,Canada,Balanced,Medium,-0.017829707
31350,Simulated Security 31350,0.01,Canada,Value,Medium,1.097611335
31351,Simulated Security 31351,0.011,Canada,Value,High,-2.692482107
31352,Simulated Security 31352,0.018,Canada,Growth,Low,1.5345878
31353,Simulated Security 31353,0.006,United States,Value,Medium,-0.225247764
31354,Simulated Security 31354,0.016,Canada,Value,Medium,4.352909129
31355,Simulated Security 31355,0.017,Canada,Value,Medium,-0.051073285
31356,Simulated Security 31356,0.019,Canada,Balanced,Low,-0.147093557
31357,Simulated Security 31357,0.007,Canada,Value,Low,3.645669312
31358,Simulated Security 31358,0.007,Canada,Value,Low,-0.385678019
31359,Simulated Security 31359,0.01,Canada,Balanced,Low,5.09476411
31360,Simulated Security 31360,0.018,Canada,Value,Low,-1.35301219
31361,Simulated Security 31361,0.014,Canada,Value,High,-2.797821066
31362,Simulated Security 31362,0.015,Canada,Growth,Medium,3.542827608
31363,Simulated Security 31363,0.013,United States,Value,Low,-0.847748499
31364,Simulated Security 31364,0.016,Canada,Growth,Low,1.996868597
31365,Simulated Security 31365,0.019,United States,Income,High,7.86359948
31366,Simulated Security 31366,0.018,United States,Income,Low,13.00269059
31367,Simulated Security 31367,0.012,United States,Income,High,3.162937413
31368,Simulated Security 31368,0.015,United States,Growth,Medium,2.201147118
31369,Simulated Security 31369,0.005,United States,Balanced,Low,5.781605117
31370,Simulated Security 31370,0.01,Canada,Value,High,10.45261564
31371,Simulated Security 31371,0.002,Canada,Growth,Medium,-0.59290297
31372,Simulated Security 31372,0.008,United States,Balanced,Medium,0.251445288
31373,Simulated Security 31373,0.02,Canada,Value,Medium,11.14425294
31374,Simulated Security 31374,0.016,Canada,Balanced,Low,-2.375950894
31375,Simulated Security 31375,0.009,Canada,Balanced,Medium,-2.206482611
31376,Simulated Security 31376,0.006,Canada,Value,Medium,2.146426008
31377,Simulated Security 31377,0.01,Canada,Value,Low,6.020569177
31378,Simulated Security 31378,0.014,Canada,Income,High,-1.554846832
31379,Simulated Security 31379,0.005,United States,Growth,High,8.579729889
31380,Simulated Security 31380,0.006,United States,Income,High,3.413359033
31381,Simulated Security 31381,0.011,United States,Growth,Low,-0.206469239
31382,Simulated Security 31382,0.001,United States,Balanced,Medium,-0.926917825
31383,Simulated Security 31383,0.019,Canada,Value,High,14.87718417
31384,Simulated Security 31384,0,Canada,Income,Medium,-19.78557665
31385,Simulated Security 31385,0.013,United States,Value,Medium,12.46911159
31386,Simulated Security 31386,0.007,Canada,Value,Low,-0.604563003
31387,Simulated Security 31387,0.005,Canada,Growth,Low,-2.960295692
31388,Simulated Security 31388,0.006,United States,Growth,High,0.290466036
31389,Simulated Security 31389,0.006,United States,Income,High,2.952844388
31390,Simulated Security 31390,0.012,United States,Growth,Low,3.349823273
31391,Simulated Security 31391,0.013,United States,Balanced,Low,-0.993700718
31392,Simulated Security 31392,0.005,Canada,Income,Low,1.703119408
31393,Simulated Security 31393,0.002,United States,Growth,High,-0.238243883
31394,Simulated Security 31394,0.016,United States,Income,High,0.246764336
31395,Simulated Security 31395,0.019,United States,Income,Medium,-2.223089957
31396,Simulated Security 31396,0.013,United States,Value,High,0.429166951
31397,Simulated Security 31397,0.004,Canada,Income,Medium,3.725004354
31398,Simulated Security 31398,0.017,United States,Value,Low,-2.839694739
31399,Simulated Security 31399,0.015,Canada,Growth,Medium,0.075961003
31400,Simulated Security 31400,0.005,United States,Value,Medium,-2.436105462
31401,Simulated Security 31401,0.019,Canada,Balanced,Medium,2.463764888
31402,Simulated Security 31402,0.015,Canada,Value,High,3.367826435
31403,Simulated Security 31403,0.006,Canada,Income,Low,-2.395382681
31404,Simulated Security 31404,0.015,United States,Balanced,Low,-1.549861017
31405,Simulated Security 31405,0.006,Canada,Income,High,1.623155995
31406,Simulated Security 31406,0.018,United States,Income,High,1.352635594
31407,Simulated Security 31407,0.015,United States,Income,Medium,3.963601407
31408,Simulated Security 31408,0.019,United States,Balanced,Medium,-1.753487079
31409,Simulated Security 31409,0.004,Canada,Value,High,2.51715869
31410,Simulated Security 31410,0.005,Canada,Growth,Low,0.002558836
31411,Simulated Security 31411,0.018,United States,Income,Low,4.34865318
31412,Simulated Security 31412,0.007,United States,Value,Low,-3.26023739
31413,Simulated Security 31413,0.017,Canada,Balanced,Medium,4.617681693
31414,Simulated Security 31414,0.019,Canada,Value,Medium,-1.754915916
31415,Simulated Security 31415,0.012,Canada,Balanced,High,0.888823809
31416,Simulated Security 31416,0.01,Canada,Income,High,-2.557726873
31417,Simulated Security 31417,0.006,United States,Income,High,4.113597838
31418,Simulated Security 31418,0.009,United States,Income,Medium,3.051265426
31419,Simulated Security 31419,0.005,United States,Value,High,3.498475274
31420,Simulated Security 31420,0.015,Canada,Growth,Medium,3.446987278
31421,Simulated Security 31421,0.004,United States,Value,High,3.476309236
31422,Simulated Security 31422,0.005,Canada,Income,High,0.190215339
31423,Simulated Security 31423,0.016,United States,Income,Low,1.094697934
31424,Simulated Security 31424,0.016,United States,Income,Low,4.85150887
31425,Simulated Security 31425,0.003,United States,Balanced,High,3.004210414
31426,Simulated Security 31426,0.005,Canada,Income,Medium,1.047249717
31427,Simulated Security 31427,0.015,United States,Value,Low,0.995085443
31428,Simulated Security 31428,0.012,Canada,Value,Medium,-1.307166888
31429,Simulated Security 31429,0.003,Canada,Balanced,Low,0.165935459
31430,Simulated Security 31430,0.006,Canada,Balanced,Low,-1.026659267
31431,Simulated Security 31431,0.018,Canada,Value,High,3.825760235
31432,Simulated Security 31432,0.01,Canada,Growth,Medium,3.710253109
31433,Simulated Security 31433,0.015,United States,Balanced,High,14.50264117
31434,Simulated Security 31434,0.012,Canada,Income,High,5.693635211
31435,Simulated Security 31435,0.002,United States,Income,Low,-0.01078201
31436,Simulated Security 31436,0.008,United States,Growth,High,-0.101482094
31437,Simulated Security 31437,0.017,United States,Growth,Medium,-1.253878572
31438,Simulated Security 31438,0.004,United States,Balanced,Low,-1.912232384
31439,Simulated Security 31439,0.013,Canada,Income,Low,-1.186651388
31440,Simulated Security 31440,0,United States,Balanced,Low,0.23345589
31441,Simulated Security 31441,0.009,Canada,Income,High,-0.727584008
31442,Simulated Security 31442,0.019,United States,Income,Medium,12.07400564
31443,Simulated Security 31443,0.017,United States,Balanced,Medium,1.938723248
31444,Simulated Security 31444,0.014,Canada,Value,High,0.68233107
31445,Simulated Security 31445,0.004,Canada,Income,High,0.347550891
31446,Simulated Security 31446,0.008,United States,Growth,Low,0.101175668
31447,Simulated Security 31447,0.006,United States,Income,Medium,1.875352171
31448,Simulated Security 31448,0.004,United States,Balanced,High,-5.738089676
31449,Simulated Security 31449,0.001,Canada,Income,Medium,-0.516817597
31450,Simulated Security 31450,0.01,United States,Balanced,High,0.874044279
31451,Simulated Security 31451,0.01,Canada,Income,High,2.280172725
31452,Simulated Security 31452,0.003,United States,Growth,Low,1.500412779
31453,Simulated Security 31453,0.008,United States,Balanced,Low,-0.644874392
31454,Simulated Security 31454,0.003,Canada,Income,High,4.055233995
31455,Simulated Security 31455,0.001,United States,Income,High,1.355523194
31456,Simulated Security 31456,0.013,United States,Growth,Medium,4.546983597
31457,Simulated Security 31457,0.019,United States,Value,Medium,4.749767169
31458,Simulated Security 31458,0.003,Canada,Value,High,0.052012038
31459,Simulated Security 31459,0.002,Canada,Income,Medium,-1.636064837
31460,Simulated Security 31460,0.007,United States,Value,Low,-2.67474502
31461,Simulated Security 31461,0.007,Canada,Value,High,-0.233809417
31462,Simulated Security 31462,0.015,Canada,Growth,High,-2.001969779
31463,Simulated Security 31463,0.006,United States,Growth,Low,4.756558641
31464,Simulated Security 31464,0.017,United States,Value,Low,8.444894981
31465,Simulated Security 31465,0.001,Canada,Value,High,-0.213685518
31466,Simulated Security 31466,0.02,Canada,Growth,Medium,1.262626931
31467,Simulated Security 31467,0.011,United States,Balanced,Medium,-0.497276082
31468,Simulated Security 31468,0.013,Canada,Value,Low,1.047162583
31469,Simulated Security 31469,0,Canada,Growth,Medium,1.175645793
31470,Simulated Security 31470,0.018,United States,Balanced,Medium,-1.948431073
31471,Simulated Security 31471,0.006,Canada,Value,Medium,1.962402751
31472,Simulated Security 31472,0.012,Canada,Balanced,Low,-2.380923938
31473,Simulated Security 31473,0.009,Canada,Growth,High,-1.149563199
31474,Simulated Security 31474,0.007,United States,Income,Low,-0.727951656
31475,Simulated Security 31475,0.017,United States,Growth,Medium,1.611147136
31476,Simulated Security 31476,0.018,United States,Value,Low,-0.240345671
31477,Simulated Security 31477,0.003,Canada,Value,Medium,-0.022124528
31478,Simulated Security 31478,0.016,Canada,Balanced,Low,-2.125493309
31479,Simulated Security 31479,0.006,Canada,Value,Low,3.695277847
31480,Simulated Security 31480,0.014,Canada,Balanced,Low,5.282456625
31481,Simulated Security 31481,0.008,Canada,Growth,Medium,1.731392067
31482,Simulated Security 31482,0.014,United States,Value,High,-1.351164514
31483,Simulated Security 31483,0.016,Canada,Growth,Low,0.970827236
31484,Simulated Security 31484,0.013,United States,Balanced,High,6.17210503
31485,Simulated Security 31485,0.015,Canada,Growth,Low,3.427757099
31486,Simulated Security 31486,0.016,United States,Income,Medium,1.941735925
31487,Simulated Security 31487,0.012,United States,Value,Medium,-2.220112834
31488,Simulated Security 31488,0.02,Canada,Value,High,4.759584926
31489,Simulated Security 31489,0.011,Canada,Growth,Low,2.93385331
31490,Simulated Security 31490,0.007,United States,Value,Medium,2.5814384
31491,Simulated Security 31491,0.006,Canada,Value,Medium,0.387354914
31492,Simulated Security 31492,0.001,Canada,Value,Medium,-2.745318926
31493,Simulated Security 31493,0.011,Canada,Balanced,Low,1.247147421
31494,Simulated Security 31494,0.007,Canada,Balanced,Medium,1.5058275
31495,Simulated Security 31495,0.02,Canada,Balanced,Medium,1.717756048
31496,Simulated Security 31496,0.009,Canada,Value,Low,-2.883916561
31497,Simulated Security 31497,0.014,Canada,Value,Medium,-1.50771309
31498,Simulated Security 31498,0.01,Canada,Balanced,Medium,8.780727402
31499,Simulated Security 31499,0.006,Canada,Value,High,-1.69063655
31500,Simulated Security 31500,0.014,Canada,Income,High,-0.8237035
31501,Simulated Security 31501,0.008,United States,Growth,Medium,-1.366977491
31502,Simulated Security 31502,0.006,United States,Value,Medium,1.095087205
31503,Simulated Security 31503,0.02,Canada,Value,Medium,-0.343853605
31504,Simulated Security 31504,0.016,Canada,Value,Medium,1.72207859
31505,Simulated Security 31505,0.016,Canada,Value,High,3.582204969
31506,Simulated Security 31506,0.006,Canada,Growth,Low,2.603914051
31507,Simulated Security 31507,0.006,United States,Balanced,High,-1.78004406
31508,Simulated Security 31508,0.019,Canada,Income,High,1.137682663
31509,Simulated Security 31509,0.019,United States,Growth,Medium,0.081949017
31510,Simulated Security 31510,0.01,United States,Balanced,High,7.827212631
31511,Simulated Security 31511,0.003,Canada,Income,High,-1.829200104
31512,Simulated Security 31512,0.015,United States,Growth,High,1.056380018
31513,Simulated Security 31513,0.018,United States,Growth,Medium,-0.426892532
31514,Simulated Security 31514,0.016,United States,Value,High,1.38615587
31515,Simulated Security 31515,0.001,Canada,Income,High,-2.789357214
31516,Simulated Security 31516,0.017,United States,Growth,Low,-2.111282226
31517,Simulated Security 31517,0.005,United States,Growth,Low,3.334258753
31518,Simulated Security 31518,0.02,United States,Balanced,High,-1.370232973
31519,Simulated Security 31519,0.019,Canada,Income,Medium,9.706333992
31520,Simulated Security 31520,0.015,United States,Balanced,High,0.164802001
31521,Simulated Security 31521,0.012,Canada,Growth,High,4.322256077
31522,Simulated Security 31522,0.016,United States,Growth,Medium,-1.628955678
31523,Simulated Security 31523,0.01,United States,Balanced,High,-0.940438528
31524,Simulated Security 31524,0.001,Canada,Growth,Medium,-3.490301821
31525,Simulated Security 31525,0.001,United States,Value,Low,4.342775569
31526,Simulated Security 31526,0.01,Canada,Growth,Medium,2.016424642
31527,Simulated Security 31527,0.017,United States,Balanced,Low,-1.146052798
31528,Simulated Security 31528,0.005,Canada,Value,Low,3.242941554
31529,Simulated Security 31529,0.015,Canada,Income,Medium,-1.538146884
31530,Simulated Security 31530,0.008,United States,Balanced,High,0.769730688
31531,Simulated Security 31531,0.011,Canada,Growth,Medium,-0.422980253
31532,Simulated Security 31532,0.011,United States,Balanced,High,3.344537797
31533,Simulated Security 31533,0.009,Canada,Growth,Medium,-2.59564206
31534,Simulated Security 31534,0.001,United States,Balanced,Medium,5.095017576
31535,Simulated Security 31535,0.017,Canada,Balanced,High,-2.405253928
31536,Simulated Security 31536,0.016,Canada,Growth,Medium,-1.487389598
31537,Simulated Security 31537,0.019,United States,Value,Low,5.506307072
31538,Simulated Security 31538,0.009,Canada,Income,Medium,6.794282467
31539,Simulated Security 31539,0.001,United States,Value,Medium,-0.309461625
31540,Simulated Security 31540,0.005,Canada,Balanced,Low,-2.854549685
31541,Simulated Security 31541,0.013,Canada,Balanced,Low,-0.036847159
31542,Simulated Security 31542,0.018,Canada,Growth,Low,-1.82535446
31543,Simulated Security 31543,0.008,United States,Balanced,High,-0.398239366
31544,Simulated Security 31544,0.014,Canada,Income,High,7.577544647
31545,Simulated Security 31545,0.014,United States,Growth,High,2.717639811
31546,Simulated Security 31546,0.01,United States,Growth,High,0.785482961
31547,Simulated Security 31547,0.004,United States,Growth,High,2.059232906
31548,Simulated Security 31548,0.001,United States,Income,Low,-1.505789406
31549,Simulated Security 31549,0,United States,Income,Medium,-2.541321924
31550,Simulated Security 31550,0.018,United States,Value,Low,2.973589474
31551,Simulated Security 31551,0.003,Canada,Value,Low,2.54490012
31552,Simulated Security 31552,0.015,Canada,Income,Medium,2.119748684
31553,Simulated Security 31553,0.005,United States,Balanced,Low,-0.258572916
31554,Simulated Security 31554,0.01,Canada,Growth,Medium,1.725434146
31555,Simulated Security 31555,0.01,United States,Balanced,High,2.510583505
31556,Simulated Security 31556,0.009,Canada,Growth,Low,-1.919503804
31557,Simulated Security 31557,0.013,United States,Growth,Medium,-0.016028382
31558,Simulated Security 31558,0.009,United States,Balanced,Medium,-2.231780212
31559,Simulated Security 31559,0.017,Canada,Value,Low,3.004160415
31560,Simulated Security 31560,0.017,Canada,Growth,High,5.144377268
31561,Simulated Security 31561,0.009,United States,Income,Low,0.380889392
31562,Simulated Security 31562,0.006,United States,Value,Low,0.061646568
31563,Simulated Security 31563,0.011,Canada,Income,Medium,7.365708899
31564,Simulated Security 31564,0.003,United States,Balanced,High,-2.904820074
31565,Simulated Security 31565,0.012,Canada,Growth,High,-1.347992551
31566,Simulated Security 31566,0.017,United States,Growth,High,-1.316592278
31567,Simulated Security 31567,0.008,United States,Income,Low,2.887246282
31568,Simulated Security 31568,0.001,United States,Value,Medium,1.960546938
31569,Simulated Security 31569,0.002,Canada,Value,Medium,3.881740584
31570,Simulated Security 31570,0.015,Canada,Balanced,High,4.313070541
31571,Simulated Security 31571,0.016,Canada,Income,Low,7.334749702
31572,Simulated Security 31572,0.006,United States,Value,Low,2.252328432
31573,Simulated Security 31573,0.015,Canada,Income,High,2.123284011
31574,Simulated Security 31574,0.003,United States,Growth,High,-0.20321807
31575,Simulated Security 31575,0.011,United States,Growth,Medium,-2.767697468
31576,Simulated Security 31576,0.014,United States,Balanced,Low,0.327939571
31577,Simulated Security 31577,0,Canada,Income,Low,-30.76944598
31578,Simulated Security 31578,0.016,United States,Income,Low,-1.092615397
31579,Simulated Security 31579,0.009,United States,Income,Low,-1.74340034
31580,Simulated Security 31580,0.019,United States,Value,Medium,-0.450315203
31581,Simulated Security 31581,0.018,Canada,Balanced,High,-3.168515418
31582,Simulated Security 31582,0.012,Canada,Income,Medium,-0.175473114
31583,Simulated Security 31583,0.014,United States,Balanced,Medium,-0.080822491
31584,Simulated Security 31584,0.008,Canada,Value,Low,-1.528042131
31585,Simulated Security 31585,0.004,Canada,Balanced,High,1.261246933
31586,Simulated Security 31586,0.009,Canada,Income,Medium,-1.247161244
31587,Simulated Security 31587,0.017,United States,Value,Low,0.630921267
31588,Simulated Security 31588,0.018,Canada,Value,Low,-1.569149779
31589,Simulated Security 31589,0.018,Canada,Income,High,-2.744038498
31590,Simulated Security 31590,0.016,United States,Growth,Medium,-2.434523322
31591,Simulated Security 31591,0.014,United States,Balanced,Medium,3.935067798
31592,Simulated Security 31592,0.013,Canada,Balanced,Medium,1.110930903
31593,Simulated Security 31593,0.002,Canada,Value,High,-2.727475617
31594,Simulated Security 31594,0.018,Canada,Growth,High,-2.12964959
31595,Simulated Security 31595,0.009,United States,Income,Medium,-0.636607568
31596,Simulated Security 31596,0.006,United States,Value,Low,-2.4565856
31597,Simulated Security 31597,0.002,Canada,Growth,High,-3.302723999
31598,Simulated Security 31598,0.003,United States,Income,Low,2.537789404
31599,Simulated Security 31599,0.006,United States,Income,Medium,2.748995699
31600,Simulated Security 31600,0.013,United States,Value,Medium,6.023204923
31601,Simulated Security 31601,0.017,Canada,Balanced,Low,-0.140303914
31602,Simulated Security 31602,0.016,Canada,Balanced,Low,-0.522837357
31603,Simulated Security 31603,0.006,Canada,Value,High,2.731810054
31604,Simulated Security 31604,0.008,Canada,Income,Medium,3.956507072
31605,Simulated Security 31605,0.012,United States,Balanced,High,-1.843524224
31606,Simulated Security 31606,0.014,Canada,Growth,Low,3.44605457
31607,Simulated Security 31607,0.003,United States,Growth,Medium,2.017038411
31608,Simulated Security 31608,0.008,United States,Balanced,Medium,3.567959208
31609,Simulated Security 31609,0.016,Canada,Balanced,Low,0.042851514
31610,Simulated Security 31610,0.015,Canada,Income,High,5.567836227
31611,Simulated Security 31611,0.008,United States,Growth,Medium,-3.578205857
31612,Simulated Security 31612,0.009,United States,Balanced,Low,3.813385006
31613,Simulated Security 31613,0.019,Canada,Growth,Low,-1.664598507
31614,Simulated Security 31614,0.001,United States,Value,Low,-0.806224677
31615,Simulated Security 31615,0.009,Canada,Income,Low,-0.965345729
31616,Simulated Security 31616,0.019,United States,Value,High,1.287310405
31617,Simulated Security 31617,0.014,Canada,Income,High,9.865184869
31618,Simulated Security 31618,0.013,United States,Growth,Medium,0.362141363
31619,Simulated Security 31619,0.013,United States,Balanced,Low,1.134166672
31620,Simulated Security 31620,0.005,Canada,Balanced,Medium,2.169557243
31621,Simulated Security 31621,0.017,Canada,Value,High,3.302348345
31622,Simulated Security 31622,0.008,Canada,Income,Medium,-0.830643987
31623,Simulated Security 31623,0.015,United States,Value,High,-0.720107773
31624,Simulated Security 31624,0.006,Canada,Growth,High,-2.628800484
31625,Simulated Security 31625,0.004,United States,Income,High,-2.692108119
31626,Simulated Security 31626,0.007,United States,Growth,Medium,3.00176408
31627,Simulated Security 31627,0.016,United States,Balanced,Medium,0.412865942
31628,Simulated Security 31628,0.004,Canada,Balanced,Medium,-3.984093015
31629,Simulated Security 31629,0.002,Canada,Balanced,High,5.227022833
31630,Simulated Security 31630,0.01,Canada,Income,Low,-1.639748322
31631,Simulated Security 31631,0.01,United States,Balanced,High,2.364569876
31632,Simulated Security 31632,0.009,Canada,Income,Medium,2.065847238
31633,Simulated Security 31633,0.016,United States,Balanced,Low,-0.802732287
31634,Simulated Security 31634,0.014,Canada,Value,High,2.008424011
31635,Simulated Security 31635,0.004,Canada,Growth,Low,4.180737245
31636,Simulated Security 31636,0.008,United States,Balanced,Low,3.45023547
31637,Simulated Security 31637,0.011,Canada,Growth,Low,-0.501208527
31638,Simulated Security 31638,0,United States,Value,High,-10.88692514
31639,Simulated Security 31639,0.012,Canada,Growth,Medium,4.029780686
31640,Simulated Security 31640,0.013,United States,Balanced,High,2.545544438
31641,Simulated Security 31641,0.012,Canada,Growth,High,8.101763255
31642,Simulated Security 31642,0.018,United States,Income,Medium,2.580107009
31643,Simulated Security 31643,0.017,United States,Value,Medium,-1.846191818
31644,Simulated Security 31644,0,Canada,Value,Medium,-1.505355835
31645,Simulated Security 31645,0.004,Canada,Value,Medium,0.782792508
31646,Simulated Security 31646,0.018,Canada,Value,High,-2.527919028
31647,Simulated Security 31647,0.006,Canada,Growth,High,6.435987784
31648,Simulated Security 31648,0.006,United States,Income,High,1.035149449
31649,Simulated Security 31649,0.019,United States,Income,High,-2.659260114
31650,Simulated Security 31650,0.001,United States,Growth,Medium,1.703289772
31651,Simulated Security 31651,0.003,United States,Value,Low,-3.024295623
31652,Simulated Security 31652,0.004,Canada,Growth,High,5.408641921
31653,Simulated Security 31653,0,United States,Income,Low,-3.146613099
31654,Simulated Security 31654,0.018,United States,Value,Low,0.113185706
31655,Simulated Security 31655,0.019,Canada,Value,High,0.345883069
31656,Simulated Security 31656,0.004,Canada,Growth,Low,4.387384861
31657,Simulated Security 31657,0.012,United States,Income,Medium,-0.099559611
31658,Simulated Security 31658,0.015,United States,Value,Medium,0.440103199
31659,Simulated Security 31659,0.018,Canada,Value,Medium,14.85399663
31660,Simulated Security 31660,0.011,Canada,Value,Medium,-0.24107461
31661,Simulated Security 31661,0.007,Canada,Balanced,High,1.155547047
31662,Simulated Security 31662,0.006,Canada,Income,High,1.024074348
31663,Simulated Security 31663,0.005,United States,Income,Low,1.589878041
31664,Simulated Security 31664,0.01,United States,Income,High,8.641793692
31665,Simulated Security 31665,0.003,United States,Income,Medium,4.720283242
31666,Simulated Security 31666,0.017,United States,Value,High,-1.019929391
31667,Simulated Security 31667,0.015,Canada,Income,Medium,-0.038825379
